subid,subage,trial,agent,discourseNovel,mutExNovel,pick,novelObject,correct,age_num,age,alignment,item
190603_8_com,2,9,Cat,left,left,t15,t15,1,2.9668949771689497,0.9315068493150682,congruent,garlic
190603_8_com,2,10,Mouse,right,right,t04,t04,1,2.9668949771689497,0.9315068493150682,congruent,duck
190603_8_com,2,11,Tiger,right,left,t07,t07,1,2.9668949771689497,0.9315068493150682,incongruent,carrot
190603_8_com,2,12,Bunny,right,left,t03,t03,1,2.9668949771689497,0.9315068493150682,incongruent,eggplant
190603_9_com,3,1,Bear,right,right,t03,t03,1,3.9614155251141554,1.926027397260274,congruent,carrot
190603_9_com,3,2,Monkey,left,right,horseshoe,t16,0,3.9614155251141554,1.926027397260274,incongruent,horseshoe
190603_9_com,3,3,Pig,right,right,t11,t11,1,3.9614155251141554,1.926027397260274,congruent,apple
190603_9_com,3,4,Frog,left,right,garlic,t09,0,3.9614155251141554,1.926027397260274,incongruent,garlic
190603_9_com,3,5,Tiger,left,left,t12,t12,1,3.9614155251141554,1.926027397260274,congruent,kite
190603_9_com,3,6,Elephant,right,left,papaya,t04,0,3.9614155251141554,1.926027397260274,incongruent,papaya
190603_10_com,3,1,Tiger,right,right,t09,t09,1,3.681963470319635,1.6465753424657534,congruent,apple
190603_10_com,3,2,Elephant,right,left,kite,t02,0,3.681963470319635,1.6465753424657534,incongruent,kite
190603_10_com,3,3,Pig,right,left,eggplant,t03,0,3.681963470319635,1.6465753424657534,incongruent,eggplant
190603_10_com,3,4,Dog,left,left,t01,t01,1,3.681963470319635,1.6465753424657534,congruent,bread
190603_10_com,3,5,Frog,left,left,t08,t08,1,3.681963470319635,1.6465753424657534,congruent,papaya
190603_10_com,3,6,Beaver,left,right,barrel,t12,0,3.681963470319635,1.6465753424657534,incongruent,barrel
190603_11_com,4,1,Monkey,left,left,papaya,t08,0,4.59703196347032,2.5616438356164384,congruent,papaya
190603_11_com,4,2,Cat,left,right,t14,t14,1,4.59703196347032,2.5616438356164384,incongruent,plug
190603_11_com,4,3,Bunny,right,right,t11,t11,1,4.59703196347032,2.5616438356164384,congruent,pawn
190603_11_com,4,4,Beaver,right,right,t19,t19,1,4.59703196347032,2.5616438356164384,congruent,carrot
190603_11_com,4,5,Sheep,right,left,t16,t16,1,4.59703196347032,2.5616438356164384,incongruent,apple
190603_11_com,4,6,Dog,left,right,t13,t13,1,4.59703196347032,2.5616438356164384,incongruent,eggplant
190603_12_com,3,1,Monkey,left,left,barrel,t14,0,3.925799086757991,1.8904109589041096,congruent,barrel
190603_12_com,3,2,Tiger,right,right,t19,t19,1,3.925799086757991,1.8904109589041096,congruent,bread
190603_12_com,3,3,Dog,left,right,t02,t02,1,3.925799086757991,1.8904109589041096,incongruent,apple
190603_12_com,3,4,Bunny,left,right,t12,t12,1,3.925799086757991,1.8904109589041096,incongruent,plug
